srl_key,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
678,Home & Cleaning,Om Bhakti Wick for Diya - Ghee Cotton Wicks Small ,139,10,6,125,30,FALSE,30
679,Home & Cleaning,Om Bhakti Wick for Diya - Vanaspati Ghee Cotton Wicks Small ,69,11,6,61,30,FALSE,30
680,Home & Cleaning,A1 Biodegradable Garbage Dustbin Bags,69,0,6,69,30,FALSE,30
681,Home & Cleaning,Om Bhakti Wick for Diya - Ghee Cotton Wicks Big ,189,10,6,170,30,FALSE,30
682,Personal Care,Whisper Ultra Soft XL+ Sanitary Pads,330,2,6,323,30,FALSE,30
683,Personal Care,Neutrogena Ultra Sheer Dry Touch SPF 50+ Sunblock Sunscreen Lotion,250,10,3,225,30,FALSE,30
684,Personal Care,Whisper Ultra Soft Air Fresh Sanitary Pads (XL) with Wings,315,0,4,315,30,FALSE,30
685,Personal Care,Mamaearth Skin Correct Face Serum,599,15,1,509,30,FALSE,30
686,Munchies,On1y Pasta Seasoning,99,0,6,99,30,FALSE,30
687,Cooking Essentials,On1y Pasta Seasoning,99,0,6,99,30,FALSE,30
688,Packaged Food,Unibic Fruit & Nut Real Cranberries & Almonds Protein Bar,40,17,6,33,30,FALSE,30
689,Packaged Food,Unibic Almond & Oats Protein Bar,40,17,4,33,30,FALSE,30
690,Ice Cream & Desserts,Unibic Fruit & Nut Real Cranberries & Almonds Protein Bar,40,17,6,33,30,FALSE,30
691,Ice Cream & Desserts,Unibic Almond & Oats Protein Bar,40,17,4,33,30,FALSE,30
692,Chocolates & Candies,Unibic Fruit & Nut Real Cranberries & Almonds Protein Bar,40,17,6,33,30,FALSE,30
693,Chocolates & Candies,Unibic Almond & Oats Protein Bar,40,17,4,33,30,FALSE,30
694,Cooking Essentials,Keya Italian Seasoning,109,10,6,98,35,FALSE,35
695,Munchies,Keya Italian Seasoning,109,10,6,98,35,FALSE,35
696,Home & Cleaning,Harpic Power Fresh 6 Toilet Cleaner Rim Block Floral Delight,188,10,6,169,35,FALSE,35
697,Home & Cleaning,Harpic Power Fresh 6 Toilet Cleaner Rim Block Marine Splash,188,10,4,169,35,FALSE,35
698,Health & Hygiene,Moov Pain Relief Specialist Spray,149,5,5,141,35,FALSE,35
699,Chocolates & Candies,Saffola Oats 100 % Natural,15,0,0,15,38,TRUE,38
700,Munchies,Saffola Oats 100 % Natural,15,0,0,15,38,TRUE,38
701,Munchies,Saffola Veggie Twist Masala Oats,15,0,6,15,38,FALSE,38
702,Cooking Essentials,Saffola Oats 100 % Natural,15,0,0,15,38,TRUE,38
703,Cooking Essentials,Saffola Veggie Twist Masala Oats,15,0,6,15,38,FALSE,38
704,Chocolates & Candies,Saffola Veggie Twist Masala Oats,15,0,6,15,38,FALSE,38
705,Ice Cream & Desserts,Saffola Oats 100 % Natural,15,0,0,15,38,TRUE,38
706,Chocolates & Candies,Yoga Bar Multigrain Energy Bar Nuts And Seeds,40,12,4,35,38,FALSE,38
707,Ice Cream & Desserts,Saffola Veggie Twist Masala Oats,15,0,6,15,38,FALSE,38
708,Packaged Food,Saffola Oats 100 % Natural,15,0,0,15,38,TRUE,38
709,Ice Cream & Desserts,Yoga Bar Multigrain Energy Bar Nuts And Seeds,40,12,4,35,38,FALSE,38
710,Packaged Food,Saffola Veggie Twist Masala Oats,15,0,6,15,38,FALSE,38
711,Packaged Food,Yoga Bar Multigrain Energy Bar Nuts And Seeds,40,12,4,35,38,FALSE,38
712,Packaged Food,The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar,60,20,6,48,40,FALSE,40
713,Packaged Food,The Whole Truth Energy Bar Choco Cranberry Fudge,60,26,6,44,40,FALSE,40
714,Packaged Food,The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar,60,20,6,48,40,FALSE,40
715,Packaged Food,The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar,60,20,6,48,40,FALSE,40
716,Ice Cream & Desserts,The Whole Truth Energy Bar Choco Cranberry Fudge,60,26,6,44,40,FALSE,40
717,Ice Cream & Desserts,The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar,60,20,6,48,40,FALSE,40
718,Packaged Food,Maggi Magic Cubes Chicken,40,2,0,39,40,TRUE,40
719,Chocolates & Candies,The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar,60,20,6,48,40,FALSE,40
720,Chocolates & Candies,The Whole Truth Energy Bar Choco Cranberry Fudge,60,26,6,44,40,FALSE,40
721,Chocolates & Candies,The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar,60,20,6,48,40,FALSE,40
722,Chocolates & Candies,The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar,60,20,6,48,40,FALSE,40
723,Ice Cream & Desserts,Maggi Magic Cubes Chicken,40,2,0,39,40,TRUE,40
724,Ice Cream & Desserts,The Whole Truth Vegan Fig Apricot & Orange Energy Bar No Sugar,60,20,6,48,40,FALSE,40
725,Ice Cream & Desserts,The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar,60,20,6,48,40,FALSE,40
726,Cooking Essentials,Keya Wonder Red Hot Chilli Flakes,89,10,2,80,40,FALSE,40
727,Munchies,Keya Wonder Red Hot Chilli Flakes,89,10,2,80,40,FALSE,40
728,Chocolates & Candies,Maggi Magic Cubes Chicken,40,2,0,39,40,TRUE,40
729,Personal Care,Colgate Sensitive Everyday Protection Anticavity Toothpaste,75,0,6,75,40,FALSE,40
730,Personal Care,Fem Fairness Naturals Hair Removal Cream Fair & Soft - Gold,65,10,4,58,40,FALSE,40
731,Personal Care,Fem Fairness Naturals Hair Removal Cream Fair & Soft - Rose,65,10,6,58,40,FALSE,40
732,Home & Cleaning,Om Bhakti Camphor Big,119,10,6,107,40,FALSE,40
733,Home & Cleaning,Cherry Blossom Wax Shoe Polish Black,68,5,6,64,40,FALSE,40
